POLY_ID,Latitude,Longitude,Arithmetic Mean,Parameter Name,CL
"69",40.747796000000001,-80.316441999999995,8.366038000000000,PM2.5 - Local Conditions,"3"
"70",40.383350000000000,-75.968599999999995,7.841132000000000,PM2.5 - Local Conditions,"1"
"71",40.535277999999998,-78.370833000000005,8.784708999999999,PM2.5 - Local Conditions,"5"
"72",41.705226000000003,-76.512726000000001,7.832578000000000,PM2.5 - Local Conditions,"1"
"73",40.309722000000001,-78.915000000000006,10.050857000000001,PM2.5 - Local Conditions,"6"
"74",40.811388999999998,-77.877027999999996,8.273683999999999,PM2.5 - Local Conditions,"5"
"75",39.834460999999997,-75.768242000000001,7.920000000000000,PM2.5 - Local Conditions,"1"
"76",40.246527999999998,-77.186750000000004,7.468627000000000,PM2.5 - Local Conditions,"5"
"77",40.246991999999999,-76.846987999999996,8.952273000000000,PM2.5 - Local Conditions,"5"
"78",39.835555999999997,-75.372500000000002,8.131481000000001,PM2.5 - Local Conditions,"1"
"79",39.818714999999997,-75.413972999999999,9.432059000000001,PM2.5 - Local Conditions,"4"
"80",42.141750000000002,-80.038611000000003,7.458491000000000,PM2.5 - Local Conditions,"2"
"81",39.917662999999997,-79.805498999999998,8.547863000000000,PM2.5 - Local Conditions,"3"
"82",39.809330000000003,-80.265670000000000,7.990274000000000,PM2.5 - Local Conditions,"3"
"83",40.563330000000001,-78.919972000000001,8.555362000000001,PM2.5 - Local Conditions,"5"
"84",41.442777999999997,-75.623056000000005,7.872464000000000,PM2.5 - Local Conditions,"1"
"85",40.046666999999999,-76.283332999999999,8.271488000000000,PM2.5 - Local Conditions,"5"
"86",40.043832999999999,-76.112399999999994,9.263332999999999,PM2.5 - Local Conditions,"5"
"87",40.338515999999998,-76.394788000000005,8.445783000000000,PM2.5 - Local Conditions,"5"
"88",40.611944000000001,-75.432500000000005,9.864808999999999,PM2.5 - Local Conditions,"4"
"89",41.266263000000002,-77.231189000000001,8.686982000000000,PM2.5 - Local Conditions,"5"
"90",41.215013999999996,-80.484779000000003,8.081569999999999,PM2.5 - Local Conditions,"3"
"91",40.112222000000003,-75.309167000000002,9.470986000000000,PM2.5 - Local Conditions,"4"
"92",40.628056000000001,-75.341110999999998,7.582528000000000,PM2.5 - Local Conditions,"1"
"93",40.008889000000003,-75.097780000000000,10.034831000000001,PM2.5 - Local Conditions,"4"
"94",39.991388999999998,-75.080832999999998,9.149558000000001,PM2.5 - Local Conditions,"4"
"95",39.922866999999997,-75.186920999999998,10.089197000000000,PM2.5 - Local Conditions,"4"
"96",39.960048000000000,-75.142613999999995,9.639714000000000,PM2.5 - Local Conditions,"4"
"97",40.054170999999997,-74.985166000000007,10.026685000000001,PM2.5 - Local Conditions,"4"
"98",39.988841999999998,-75.207205000000002,9.310826000000000,PM2.5 - Local Conditions,"4"
"99",41.867331000000000,-75.686218999999994,7.313473000000000,PM2.5 - Local Conditions,"1"
"100",41.644722000000002,-76.939166999999998,6.740498000000000,PM2.5 - Local Conditions,"1"
"101",40.146667000000001,-79.902221999999995,8.244538000000000,PM2.5 - Local Conditions,"3"
"102",40.445278000000002,-80.420833000000002,9.325369000000000,PM2.5 - Local Conditions,"3"
"103",40.268962999999999,-80.243994999999998,8.455102000000000,PM2.5 - Local Conditions,"3"
"104",40.304693999999998,-79.505667000000003,9.560907000000000,PM2.5 - Local Conditions,"6"
"105",41.605243999999999,-75.957740000000001,7.252083000000000,PM2.5 - Local Conditions,"1"
"106",39.965277999999998,-76.699444000000000,10.740634000000000,PM2.5 - Local Conditions,"5"
