State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
10,003,2004,42602,1,39.739444,-75.558056,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",2021,Parts per billion,No Events,7791,89,Y,327,365,0,969,NA,NA,Certified,0,9.337774,7.63872,50.7,2021-03-09T22:00:00Z,47.9,2021-02-04T20:00:00Z,46.2,2021-11-09T18:00:00Z,45.3,2021-11-09T19:00:00Z,NA,NA,NA,NA,34.3,31.5,26,20.8,12.4,6.6,2.5,MLK  CORNER OF MLK BLVD AND JUSTISON ST,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-07-15
10,003,2004,44201,1,39.739444,-75.558056,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,5736,91,Y,333,365,0,0,1,1,Certified,0,0.03852,0.012196,0.074,2021-06-05T11:00:00Z,0.07,2021-08-25T10:00:00Z,0.068,2021-06-18T10:00:00Z,0.066,2021-05-19T12:00:00Z,NA,NA,NA,NA,0.066,0.064,0.06,0.055,0.047,0.038,0.024,MLK  CORNER OF MLK BLVD AND JUSTISON ST,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-07-15
10,003,2004,88101,1,39.739444,-75.558056,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,341,93,Y,341,365,0,24,1,1,Was Certified but data changed,0,7.535484,4.654252,44.7,2021-07-20T00:00:00Z,30.7,2021-07-21T00:00:00Z,26,2021-01-12T00:00:00Z,22.8,2021-01-14T00:00:00Z,NA,NA,NA,NA,22.8,20.2,16.1,12.9,9.1,6.6,3.2,MLK  CORNER OF MLK BLVD AND JUSTISON ST,MLK BLVD AND JUSTISON ST.,Delaware,New Castle,Wilmington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-10-18
10,005,1002,44201,1,38.6539,-75.6106,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,5968,94,Y,231,245,0,0,0,0,Certified,0,0.041489,0.009375,0.07,2021-05-22T11:00:00Z,0.065,2021-07-28T10:00:00Z,0.065,2021-08-25T09:00:00Z,0.064,2021-06-05T11:00:00Z,NA,NA,NA,NA,0.065,0.063,0.057,0.054,0.047,0.042,0.035,Seaford Shipley State Service Center,350 VIRGINIA AVE SEAFORD,Delaware,Sussex,Seaford,"Salisbury, MD-DE",2022-07-15
10,005,1002,88101,3,38.6539,-75.6106,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,NA,2021,Micrograms/cubic meter (LC),No Events,198,54,N,198,365,0,0,0,0,Certified - QA issues identified,0,8.618687,4.178383,32.8,2021-07-21T00:00:00Z,27.2,2021-07-20T00:00:00Z,21.2,2021-01-15T00:00:00Z,21.1,2021-01-12T00:00:00Z,NA,NA,NA,NA,27.2,21.1,16.2,13.7,10.2,7.7,4.5,Seaford Shipley State Service Center,350 VIRGINIA AVE SEAFORD,Delaware,Sussex,Seaford,"Salisbury, MD-DE",2022-08-31
10,005,1003,44201,1,38.7791,-75.16323,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,5434,82,Y,201,245,0,0,0,0,Certified,0,0.040323,0.00807,0.064,2021-07-27T09:00:00Z,0.063,2021-08-06T10:00:00Z,0.062,2021-06-05T11:00:00Z,0.061,2021-05-22T11:00:00Z,NA,NA,NA,NA,0.062,0.061,0.055,0.051,0.045,0.04,0.035,"Lewes SPM SITE, NEAR UD ACID RAIN/MERCURY COLLECTORS",UNIV. OF DE COLLEGE OF MARINE STUDIES,Delaware,Sussex,Lewes,"Salisbury, MD-DE",2022-08-31
24,003,1003,44201,2,39.169533,-76.627933,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,4072,96,Y,235,245,0,0,1,1,Certified,0,0.042638,0.011662,0.071,2021-06-05T10:00:00Z,0.07,2021-05-19T10:00:00Z,0.07,2021-07-26T10:00:00Z,0.07,2021-07-27T10:00:00Z,NA,NA,NA,NA,0.07,0.07,0.063,0.059,0.05,0.042,0.028,GLEN BURNIE,ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,Maryland,Anne Arundel,Glen Burnie,"Baltimore-Columbia-Towson, MD",2021-11-16
24,005,0009,42602,4,39.371679,-76.746814,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy,2021,Parts per billion,No Events,8582,98,Y,358,365,0,178,NA,NA,Certified,0,14.321032,8.110625,49.6,2021-03-09T19:00:00Z,46.5,2021-03-09T18:00:00Z,46.3,2021-02-04T18:00:00Z,45.8,2021-02-04T21:00:00Z,NA,NA,NA,NA,37.3,35,30.7,26,18.8,12.5,5.3,Baltimore County Near Road,4380 OLD COURT RD,Maryland,Baltimore,Lochearn,"Baltimore-Columbia-Towson, MD",2022-01-26
24,005,1007,44201,1,39.460478,-76.633543,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,4095,97,Y,238,245,0,0,3,3,Certified,0,0.045202,0.010857,0.082,2021-08-25T10:00:00Z,0.072,2021-07-28T10:00:00Z,0.072,2021-08-06T10:00:00Z,0.07,2021-06-05T11:00:00Z,NA,NA,NA,NA,0.072,0.069,0.065,0.06,0.052,0.045,0.032,Padonia,"Padonia Elementary School, 9834 Greenside Drive",Maryland,Baltimore,Cockeysville,"Baltimore-Columbia-Towson, MD",2021-11-16
24,005,1007,88101,1,39.460478,-76.633543,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,30,97,Y,29,30,0,1,0,0,Certified,0,7.963333,5.334306,27.8,2021-07-21T00:00:00Z,17.6,2021-03-11T00:00:00Z,14.6,2021-08-26T00:00:00Z,14.4,2021-02-15T00:00:00Z,NA,NA,NA,NA,27.8,27.8,17.6,14.6,9.7,6.7,3.3,Padonia,"Padonia Elementary School, 9834 Greenside Drive",Maryland,Baltimore,Cockeysville,"Baltimore-Columbia-Towson, MD",2022-03-01
24,005,3001,42602,4,39.310833,-76.474444,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy,2021,Parts per billion,No Events,8591,98,Y,360,365,0,169,NA,NA,Certified,0,8.929007,7.483559,48.3,2021-02-23T05:00:00Z,44.3,2021-02-04T20:00:00Z,44.1,2021-02-04T19:00:00Z,42.2,2021-02-04T18:00:00Z,NA,NA,NA,NA,33.3,30.4,25.2,20.3,12,6.1,2.4,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",2022-01-26
24,005,3001,44201,1,39.310833,-76.474444,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,5952,96,Y,234,245,0,0,10,10,Certified,0,0.046406,0.011515,0.078,2021-07-20T11:00:00Z,0.078,2021-07-27T10:00:00Z,0.078,2021-08-13T09:00:00Z,0.075,2021-05-19T11:00:00Z,NA,NA,NA,NA,0.078,0.074,0.067,0.061,0.053,0.046,0.037,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",2022-01-24
24,005,3001,88101,1,39.310833,-76.474444,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,6,0,0,Certified,0,7.81,3.65164,19,2021-03-11T00:00:00Z,14.6,2021-02-15T00:00:00Z,14.1,2021-07-28T00:00:00Z,13.9,2021-02-21T00:00:00Z,NA,NA,NA,NA,19,14.6,14.1,13.1,10.8,7.3,3.4,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",2022-03-01
24,009,0011,44201,1,38.536722,-76.617194,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,3834,90,Y,221,245,0,0,1,1,Certified,0,0.041824,0.008881,0.072,2021-07-28T10:00:00Z,0.063,2021-08-05T10:00:00Z,0.063,2021-08-24T10:00:00Z,0.062,2021-07-30T09:00:00Z,NA,NA,NA,NA,0.063,0.062,0.059,0.053,0.046,0.042,0.031,Calvert,350 Stafford Road,Maryland,Calvert,Prince Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-01-21
