POLY_ID,Latitude,Longitude,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,CL
"1",38.986671999999999,-75.556799999999996,0.043186000000000,0.009644000000000,0.073000000000000,0.071000000000000,0.070000000000000,0.067000000000000,"1"
"2",39.551299999999998,-75.731999999999999,0.042299000000000,0.009697000000000,0.071000000000000,0.065000000000000,0.064000000000000,0.063000000000000,"1"
"3",39.817222000000001,-75.563889000000003,0.042168000000000,0.010386000000000,0.072000000000000,0.067000000000000,0.067000000000000,0.065000000000000,"1"
"4",39.773888999999997,-75.496388999999994,0.042167000000000,0.010833000000000,0.073000000000000,0.067000000000000,0.067000000000000,0.064000000000000,"1"
"5",39.739443999999999,-75.558055999999993,0.038520000000000,0.012196000000000,0.074000000000000,0.070000000000000,0.068000000000000,0.066000000000000,"1"
"6",38.653900000000000,-75.610600000000005,0.041489000000000,0.009375000000000,0.070000000000000,0.065000000000000,0.065000000000000,0.064000000000000,"4"
"7",38.779100000000000,-75.163229999999999,0.040323000000000,0.008070000000000,0.064000000000000,0.063000000000000,0.062000000000000,0.061000000000000,"4"
"8",39.169533000000001,-76.627932999999999,0.042638000000000,0.011662000000000,0.071000000000000,0.070000000000000,0.070000000000000,0.070000000000000,"1"
"9",39.460478000000002,-76.633543000000003,0.045202000000000,0.010857000000000,0.082000000000000,0.072000000000000,0.072000000000000,0.070000000000000,"7"
"10",39.310833000000002,-76.474444000000005,0.046406000000000,0.011515000000000,0.078000000000000,0.078000000000000,0.078000000000000,0.075000000000000,"7"
"11",38.536721999999997,-76.617193999999998,0.041824000000000,0.008881000000000,0.072000000000000,0.063000000000000,0.063000000000000,0.062000000000000,"1"
"12",39.444293999999999,-77.042252000000005,0.043539000000000,0.009928000000000,0.074000000000000,0.070000000000000,0.070000000000000,0.067000000000000,"1"
"13",39.702981999999999,-75.864771000000005,0.045558000000000,0.010654000000000,0.075000000000000,0.072000000000000,0.071000000000000,0.070000000000000,"7"
"14",38.508547000000000,-76.811864000000000,0.041217000000000,0.010036000000000,0.072000000000000,0.067000000000000,0.067000000000000,0.066000000000000,"1"
"15",38.587524999999999,-76.141006000000004,0.043955000000000,0.009546000000000,0.072000000000000,0.067000000000000,0.065000000000000,0.065000000000000,"1"
"16",38.444971000000002,-76.111273999999995,0.044227000000000,0.009309000000000,0.067000000000000,0.065000000000000,0.065000000000000,0.065000000000000,"1"
"17",39.422759999999997,-77.375190000000003,0.044012000000000,0.010555000000000,0.078000000000000,0.069000000000000,0.069000000000000,0.067000000000000,"1"
"18",39.705950000000001,-79.012000000000000,0.039507000000000,0.009670000000000,0.066000000000000,0.066000000000000,0.063000000000000,0.061000000000000,"2"
"19",39.410190999999998,-76.296946000000005,0.044493000000000,0.011373000000000,0.074000000000000,0.073000000000000,0.073000000000000,0.073000000000000,"7"
"20",39.563333000000000,-76.203889000000004,0.046849000000000,0.011488000000000,0.077000000000000,0.077000000000000,0.072000000000000,0.072000000000000,"7"
"21",39.305021000000004,-75.797317000000007,0.044403000000000,0.009448000000000,0.073000000000000,0.069000000000000,0.069000000000000,0.067000000000000,"7"
"22",39.114313000000003,-77.106876000000000,0.043220000000000,0.010769000000000,0.076000000000000,0.074000000000000,0.074000000000000,0.068000000000000,"1"
"23",39.055276999999997,-76.878332999999998,0.037742000000000,0.011099000000000,0.076000000000000,0.071000000000000,0.067000000000000,0.066000000000000,"1"
"24",38.811940000000000,-76.744169999999997,0.043703000000000,0.010756000000000,0.074000000000000,0.073000000000000,0.073000000000000,0.070000000000000,"1"
"25",39.028399999999998,-76.817099999999996,0.044784000000000,0.011094000000000,0.079000000000000,0.076000000000000,0.072000000000000,0.071000000000000,"1"
"26",39.564177999999998,-77.720243999999994,0.043903000000000,0.010420000000000,0.075000000000000,0.067000000000000,0.065000000000000,0.065000000000000,"1"
"27",39.328806999999998,-76.553075000000007,0.043924000000000,0.010173000000000,0.068000000000000,0.068000000000000,0.068000000000000,0.067000000000000,"7"
